TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,hour,month,day_of_week,time_period,TX_FRAUD,TX_FRAUD_SCENARIO
0,2024-01-01 00:51:53,14,123,248.37,3113,0,0,1,0,late_night,0,0
0,2024-01-01 00:51:53,14,59,693.7147217294613,2394967,27,0,1,0,late_night,1,4
0,2024-01-01 00:51:53,14,0,569.9757565610034,2395422,27,0,1,0,late_night,1,4
0,2024-01-01 00:51:53,14,175,667.6110291187737,2396163,27,0,1,0,late_night,1,4
1,2024-01-01 01:21:07,39,120,21.83,4867,0,1,1,0,late_night,0,0
2,2024-01-01 01:56:44,55,8,276.54,7004,0,1,1,0,late_night,0,0
3,2024-01-01 02:41:35,70,84,59.7,9695,0,2,1,0,late_night,0,0
3,2024-01-01 02:41:35,70,139,159.29944522882053,1261928,14,2,1,0,late_night,1,4
3,2024-01-01 02:41:35,70,143,148.92748035261224,1262558,14,2,1,0,late_night,1,4
3,2024-01-01 02:41:35,70,195,170.41796030102014,1263038,14,2,1,0,late_night,1,4
4,2024-01-01 02:43:34,59,157,86.96819720572049,45277,0,2,1,0,late_night,1,4
4,2024-01-01 02:43:34,59,109,106.55146758344848,46183,0,2,1,0,late_night,1,4
4,2024-01-01 02:43:34,59,83,87.46178978366316,46133,0,2,1,0,late_night,1,4
4,2024-01-01 02:43:34,59,94,39.91,9814,0,2,1,0,late_night,0,0
5,2024-01-01 03:28:15,33,121,383.55361692496666,391906,4,3,1,0,late_night,1,4
5,2024-01-01 03:28:15,33,66,339.86718264166456,392991,4,3,1,0,late_night,1,4
5,2024-01-01 03:28:15,33,151,431.4626921278254,391327,4,3,1,0,late_night,1,4
5,2024-01-01 03:28:15,33,127,330.60854647991835,390798,4,3,1,0,late_night,1,4
5,2024-01-01 03:28:15,33,89,345.6904062959015,2026583,23,3,1,0,late_night,1,4
5,2024-01-01 03:28:15,33,87,459.3901509938781,2027089,23,3,1,0,late_night,1,4
5,2024-01-01 03:28:15,33,189,361.2529168703726,2027705,23,3,1,0,late_night,1,4
5,2024-01-01 03:28:15,33,170,415.42893942601324,2027546,23,3,1,0,late_night,1,4
5,2024-01-01 03:28:15,33,82,328.78807973700657,2222485,25,3,1,0,late_night,1,4
5,2024-01-01 03:28:15,33,190,159.16,12495,0,3,1,0,late_night,0,0
5,2024-01-01 03:28:15,33,123,374.44877054781927,2223045,25,3,1,0,late_night,1,4
5,2024-01-01 03:28:15,33,51,371.9020247404765,2223659,25,3,1,0,late_night,1,4
5,2024-01-01 03:28:15,33,26,403.65607946937433,2223763,25,3,1,0,late_night,1,4
5,2024-01-01 03:28:15,33,114,352.21018216043905,2224801,25,3,1,0,late_night,1,4
6,2024-01-01 03:39:36,14,160,258.85,13176,0,3,1,0,late_night,0,0
7,2024-01-01 04:00:12,38,178,116.55774996202659,311429,3,4,1,0,late_night,1,4
7,2024-01-01 04:00:12,38,25,125.24652911830614,999368,11,4,1,0,late_night,1,4
7,2024-01-01 04:00:12,38,192,98.20405263840746,999110,11,4,1,0,late_night,1,4
7,2024-01-01 04:00:12,38,131,94.40807666961221,998331,11,4,1,0,late_night,1,4
7,2024-01-01 04:00:12,38,130,44.39,14412,0,4,1,0,late_night,0,0
7,2024-01-01 04:00:12,38,83,90.54754197464571,312128,3,4,1,0,late_night,1,4
7,2024-01-01 04:00:12,38,174,100.71033722335635,310511,3,4,1,0,late_night,1,4
7,2024-01-01 04:00:12,38,60,120.60480905375888,311158,3,4,1,0,late_night,1,4
7,2024-01-01 04:00:12,38,105,109.96773837354807,997820,11,4,1,0,late_night,1,4
7,2024-01-01 04:00:12,38,171,97.49037333685348,999384,11,4,1,0,late_night,1,4
8,2024-01-01 04:32:18,70,76,26.11,16338,0,4,1,0,late_night,0,0
9,2024-01-01 04:39:17,23,35,297.9318775768123,1938796,22,4,1,0,late_night,1,4
9,2024-01-01 04:39:17,23,74,327.3605660355006,1938193,22,4,1,0,late_night,1,4
9,2024-01-01 04:39:17,23,21,119.54,16757,0,4,1,0,late_night,0,0
9,2024-01-01 04:39:17,23,79,276.1931835110959,1937272,22,4,1,0,late_night,1,4
9,2024-01-01 04:39:17,23,36,298.93669958079226,1937924,22,4,1,0,late_night,1,4
9,2024-01-01 04:39:17,23,59,356.93348985991634,1938672,22,4,1,0,late_night,1,4
10,2024-01-01 04:49:26,67,57,34.89,17366,0,4,1,0,late_night,0,0
10,2024-01-01 04:49:26,67,109,73.78374155705417,560734,6,4,1,0,late_night,1,4
10,2024-01-01 04:49:26,67,151,84.5910262215553,560766,6,4,1,0,late_night,1,4
10,2024-01-01 04:49:26,67,119,89.6844295377399,559991,6,4,1,0,late_night,1,4
10,2024-01-01 04:49:26,67,94,83.8859509208801,559138,6,4,1,0,late_night,1,4
10,2024-01-01 04:49:26,67,79,99.69398384017053,2127822,24,4,1,0,late_night,1,4
10,2024-01-01 04:49:26,67,19,82.44818407657904,2128597,24,4,1,0,late_night,1,4
10,2024-01-01 04:49:26,67,127,95.84103695987116,2128916,24,4,1,0,late_night,1,4
11,2024-01-01 04:56:07,45,74,95.68458297612541,2485893,28,4,1,0,late_night,1,4
11,2024-01-01 04:56:07,45,175,77.58888503187076,1855014,21,4,1,0,late_night,1,4
11,2024-01-01 04:56:07,45,109,68.12644486473249,1856731,21,4,1,0,late_night,1,4
11,2024-01-01 04:56:07,45,145,84.43864370141733,1854880,21,4,1,0,late_night,1,4
11,2024-01-01 04:56:07,45,119,74.02598397671389,1854118,21,4,1,0,late_night,1,4
11,2024-01-01 04:56:07,45,191,83.80855653035026,2486693,28,4,1,0,late_night,1,4
11,2024-01-01 04:56:07,45,25,84.79911186503287,2486921,28,4,1,0,late_night,1,4
11,2024-01-01 04:56:07,45,58,32.35,17767,0,4,1,0,late_night,0,0
12,2024-01-01 04:57:12,38,130,81.87,17832,0,4,1,0,late_night,0,0
13,2024-01-01 05:14:59,76,160,436.7,18899,0,5,1,0,late_night,0,0
13,2024-01-01 05:14:59,76,193,1100.3493037929875,151670,1,5,1,0,late_night,1,4
13,2024-01-01 05:14:59,76,65,1143.6128777144536,152464,1,5,1,0,late_night,1,4
13,2024-01-01 05:14:59,76,156,1225.4079410147197,152669,1,5,1,0,late_night,1,4
13,2024-01-01 05:14:59,76,101,1237.6431321281561,152792,1,5,1,0,late_night,1,4
